epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,45.3806,1.54494,1.53693,1.52463,0.53005,0.23333,0.1479,0.03329,2.55924,5.12061,2.50063,0.000136,0.000136,0.000136
42,45.9861,1.36344,1.36379,1.37322,0.53005,0.23333,0.1479,0.03329,2.55924,5.12061,2.50063,0.000132635,0.000132635,0.000132635
43,46.5899,1.3688,1.38205,1.3492,0.56782,0.23333,0.18149,0.03855,2.53484,4.51587,2.50639,0.00012894,0.00012894,0.00012894
44,47.2083,1.28953,1.37106,1.34133,0.56782,0.23333,0.18149,0.03855,2.53484,4.51587,2.50639,0.000124915,0.000124915,0.000124915
45,47.8365,1.43754,1.47743,1.43513,0.49253,0.22222,0.16344,0.03267,2.51372,4.01612,2.50338,0.00012056,0.00012056,0.00012056
46,48.386,1.51338,1.5554,1.44902,0.49253,0.22222,0.16344,0.03267,2.51372,4.01612,2.50338,0.000115875,0.000115875,0.000115875
47,49.003,1.25508,1.211,1.28095,0.56721,0.28889,0.17688,0.02851,2.53668,3.9259,2.51334,0.00011086,0.00011086,0.00011086
48,50.1726,1.28518,1.26962,1.31501,0.56721,0.28889,0.17688,0.02851,2.53668,3.9259,2.51334,0.000105515,0.000105515,0.000105515
49,50.7795,1.23386,1.17036,1.29837,0.54879,0.28889,0.18998,0.02898,2.53532,3.78272,2.5133,9.984e-05,9.984e-05,9.984e-05
50,51.374,1.24709,1.20256,1.25273,0.54879,0.28889,0.18998,0.02898,2.53532,3.78272,2.5133,9.3835e-05,9.3835e-05,9.3835e-05
51,52.7918,1.18599,1.41421,1.29931,0.50828,0.27032,0.18921,0.02905,2.54599,3.63412,2.49896,8.75e-05,8.75e-05,8.75e-05
52,53.771,1.36698,1.53488,1.37658,0.50828,0.27032,0.18921,0.02905,2.54599,3.63412,2.49896,8.0835e-05,8.0835e-05,8.0835e-05
53,54.4687,1.23848,1.4157,1.34064,0.50828,0.27032,0.18921,0.02905,2.54599,3.63412,2.49896,7.384e-05,7.384e-05,7.384e-05
54,55.0679,1.17169,1.2973,1.23955,0.49786,0.16667,0.16734,0.02821,2.57488,3.57076,2.48945,6.6515e-05,6.6515e-05,6.6515e-05
55,55.7296,1.52706,1.65579,1.40021,0.49786,0.16667,0.16734,0.02821,2.57488,3.57076,2.48945,5.886e-05,5.886e-05,5.886e-05
56,56.5275,1.11461,1.20904,1.18753,0.49786,0.16667,0.16734,0.02821,2.57488,3.57076,2.48945,5.0875e-05,5.0875e-05,5.0875e-05
57,57.3958,1.33235,1.44841,1.27269,0.49317,0.16667,0.15237,0.02921,2.64248,3.53296,2.53324,4.256e-05,4.256e-05,4.256e-05
58,58.2315,1.1636,1.28001,1.24356,0.49317,0.16667,0.15237,0.02921,2.64248,3.53296,2.53324,3.3915e-05,3.3915e-05,3.3915e-05
59,59.1742,1.14755,1.2912,1.22216,0.49317,0.16667,0.15237,0.02921,2.64248,3.53296,2.53324,2.494e-05,2.494e-05,2.494e-05
60,59.8279,1.20317,1.3426,1.2835,0.49467,0.16667,0.13758,0.02609,2.63711,3.48995,2.52369,1.5635e-05,1.5635e-05,1.5635e-05
